Bags,Quantization,Hashed_EER_Filter_Level,Hashed_EER_Rate,Theory_EER_Filter_Level,Theory_EER_Rate
1,Float,16.844036697247706,0.03299082568807339,None,None
1,16-bit,18.214285714285715,0.0488,None,None
1,12-bit,21.290909090909093,0.03537454545454546,None,None
1,8-bit,20.097560975609756,0.03354146341463415,None,None
1,4-bit,None,None,None,None
1,3-bit,None,None,None,None
3,Float,12.325581395348838,0.01913488372093023,None,None
3,16-bit,12.181818181818182,0.02290909090909091,None,None
3,12-bit,11.75,0.0206,None,None
3,8-bit,11.924528301886792,0.022845283018867926,None,None
3,4-bit,26.857142857142858,0.08428571428571428,None,None
3,3-bit,None,None,None,None
5,Float,9.134615384615385,0.016092307692307694,None,None
5,16-bit,10.071428571428571,0.009885714285714286,None,None
5,12-bit,11.383333333333333,0.019033333333333333,None,None
5,8-bit,10.777777777777779,0.017777777777777778,None,None
5,4-bit,23.77906976744186,0.06548837209302326,None,None
5,3-bit,None,None,None,None
7,Float,9.542857142857143,0.016491428571428574,None,None
7,16-bit,8.786666666666667,0.023093333333333334,None,None
7,12-bit,8.552631578947368,0.013621052631578949,None,None
7,8-bit,9.333333333333334,0.012400000000000001,None,None
7,4-bit,22.8,0.06151999999999999,None,None
7,3-bit,None,None,None,None
9,Float,7.967741935483871,0.014929032258064516,None,None
9,16-bit,8.236363636363636,0.01626909090909091,None,None
9,12-bit,8.55,0.012780000000000001,None,None
9,8-bit,8.282608695652174,0.01762608695652174,None,None
9,4-bit,19.84931506849315,0.05269589041095891,None,None
9,3-bit,None,None,None,None
11,Float,7.69811320754717,0.016150943396226417,None,None
11,16-bit,7.764705882352941,0.015223529411764707,None,None
11,12-bit,6.803030303030303,0.014018181818181819,None,None
11,8-bit,7.25,0.006,None,None
11,4-bit,18.298850574712645,0.03874022988505747,None,None
11,3-bit,None,None,None,None
13,Float,7.1190476190476195,0.013123809523809524,None,None
13,16-bit,5.685714285714286,0.009245714285714286,None,None
13,12-bit,5.594594594594595,0.009654054054054053,None,None
13,8-bit,7.552631578947369,0.02003157894736842,None,None
13,4-bit,18.686567164179106,0.042411940298507464,None,None
13,3-bit,29.957894736842107,0.05995789473684211,None,None
