Bags,Quantization,Hashed_EER_Filter_Level,Hashed_EER_Rate,Theory_EER_Filter_Level,Theory_EER_Rate
1,Float,23.794117647058822,0.02675294117647059,None,None
1,16-bit,24.3,0.02664,None,None
1,12-bit,19.714285714285715,0.030971428571428573,None,None
1,8-bit,24.571428571428573,0.053257142857142864,None,None
1,4-bit,None,None,None,None
1,3-bit,None,None,None,None
3,Float,14.916666666666666,0.013566666666666668,None,None
3,16-bit,14.4375,0.0155,None,None
3,12-bit,14.291666666666666,0.010466666666666666,None,None
3,8-bit,16.305555555555557,0.030122222222222227,None,None
3,4-bit,30.22222222222222,0.07457777777777778,None,None
3,3-bit,None,None,None,None
5,Float,12.729166666666666,0.022166666666666668,None,None
5,16-bit,12.875,0.008300000000000002,None,None
5,12-bit,12.653846153846153,0.021030769230769228,None,None
5,8-bit,12.5,0.0142,None,None
5,4-bit,27.71590909090909,0.05676363636363637,None,None
5,3-bit,None,None,None,None
7,Float,11.205882352941178,0.019329411764705883,None,None
7,16-bit,10.178571428571429,0.00907142857142857,None,None
7,12-bit,11.64,0.010032000000000001,None,None
7,8-bit,11.65909090909091,0.01890909090909091,None,None
7,4-bit,25.91549295774648,0.045318309859154936,None,None
7,3-bit,None,None,None,None
9,Float,8.935483870967742,0.008141935483870969,None,None
9,16-bit,10.321428571428571,0.011242857142857143,None,None
9,12-bit,9.485714285714286,0.013542857142857143,None,None
9,8-bit,11.516666666666666,0.017913333333333333,None,None
9,4-bit,25.578125,0.048643750000000006,None,None
9,3-bit,None,None,None,None
11,Float,9.022727272727273,0.005918181818181819,None,None
11,16-bit,8.3,0.00708,None,None
11,12-bit,8.9,0.0061200000000000004,None,None
11,8-bit,9.58974358974359,0.014994871794871793,None,None
11,4-bit,23.424657534246574,0.05321643835616439,None,None
11,3-bit,None,None,None,None
13,Float,8.095238095238095,0.006533333333333334,None,None
13,16-bit,9.742857142857144,0.013760000000000001,None,None
13,12-bit,7.961538461538462,0.00796923076923077,None,None
13,8-bit,9.80952380952381,0.005942857142857144,None,None
13,4-bit,23.863636363636363,0.04294545454545454,None,None
13,3-bit,34.55952380952381,0.051404761904761904,None,None
