Bags,Quantization,Hashed_EER_Filter_Level,Hashed_EER_Rate,Theory_EER_Filter_Level,Theory_EER_Rate
1,Float,30.321428571428573,0.02715714285714286,None,None
1,16-bit,27.69047619047619,0.030838095238095237,None,None
1,12-bit,30.615384615384617,0.024276923076923078,None,None
1,8-bit,30.599999999999998,0.02912,None,None
1,4-bit,None,None,None,None
1,3-bit,None,None,None,None
3,Float,20.92105263157895,0.013894736842105262,None,None
3,16-bit,21.65714285714286,0.018194285714285715,None,None
3,12-bit,21.0,0.010400000000000001,None,None
3,8-bit,20.82758620689655,0.009972413793103449,None,None
3,4-bit,None,None,None,None
3,3-bit,None,None,None,None
5,Float,14.590909090909092,0.006290909090909091,None,None
5,16-bit,19.314285714285713,0.01232,None,None
5,12-bit,18.444444444444443,0.005822222222222222,None,None
5,8-bit,17.877551020408163,0.010514285714285714,None,None
5,4-bit,36.19178082191781,0.06162739726027397,None,None
5,3-bit,None,None,None,None
7,Float,15.8,0.00928,None,None
7,16-bit,14.75,0.005,None,None
7,12-bit,15.833333333333334,0.014666666666666668,None,None
7,8-bit,15.529411764705882,0.009176470588235293,None,None
7,4-bit,35.696969696969695,0.03151515151515151,None,None
7,3-bit,None,None,None,None
9,Float,13.538461538461538,0.006061538461538462,None,None
9,16-bit,14.777777777777779,0.005688888888888889,None,None
9,12-bit,14.375,0.00575,None,None
9,8-bit,13.583333333333334,0.0079,None,None
9,4-bit,35.71111111111111,0.035022222222222225,None,None
9,3-bit,None,None,None,None
11,Float,14.404761904761905,0.01539047619047619,None,None
11,16-bit,11.586206896551724,0.009310344827586208,None,None
11,12-bit,14.0,0.004399999999999999,None,None
11,8-bit,12.482758620689655,0.006110344827586206,None,None
11,4-bit,31.2,0.03592,None,None
11,3-bit,None,None,None,None
13,Float,14.25,0.006900000000000001,None,None
13,16-bit,12.0,0.0036000000000000003,None,None
13,12-bit,14.605263157894736,0.016357894736842106,None,None
13,8-bit,14.304347826086957,0.010034782608695654,None,None
13,4-bit,29.924242424242426,0.031181818181818186,None,None
13,3-bit,None,None,None,None
