Bags,Quantization,Hashed_EER_Filter_Level,Hashed_EER_Rate,Theory_EER_Filter_Level,Theory_EER_Rate
1,Float,30.961538461538463,0.023784615384615387,None,None
1,16-bit,30.26829268292683,0.021482926829268296,None,None
1,12-bit,30.545454545454547,0.013854545454545454,None,None
1,8-bit,30.6875,0.015775,None,None
1,4-bit,None,None,None,None
1,3-bit,None,None,None,None
3,Float,21.733333333333334,0.01232,None,None
3,16-bit,24.3,0.01336,None,None
3,12-bit,22.0,0.012,None,None
3,8-bit,21.263157894736842,0.01214736842105263,None,None
3,4-bit,46.44329896907217,0.04828453608247423,None,None
3,3-bit,None,None,None,None
5,Float,19.357142857142858,0.0068000000000000005,None,None
5,16-bit,19.4,0.0064,None,None
5,12-bit,19.4375,0.0060750000000000005,None,None
5,8-bit,17.666666666666668,0.005333333333333334,None,None
5,4-bit,40.30434782608695,0.03923478260869565,None,None
5,3-bit,None,None,None,None
7,Float,18.352941176470587,0.008164705882352942,None,None
7,16-bit,18.77777777777778,0.005244444444444445,None,None
7,12-bit,19.454545454545453,0.008545454545454545,None,None
7,8-bit,17.923076923076923,0.007384615384615385,None,None
7,4-bit,41.53658536585366,0.042624390243902445,None,None
7,3-bit,None,None,None,None
9,Float,15.666666666666666,0.005200000000000001,None,None
9,16-bit,17.636363636363637,0.0074909090909090915,None,None
9,12-bit,17.696969696969695,0.006303030303030304,None,None
9,8-bit,16.083333333333332,0.005866666666666667,None,None
9,4-bit,39.96078431372549,0.054282352941176476,None,None
9,3-bit,None,None,None,None
11,Float,17.19047619047619,0.0067428571428571425,None,None
11,16-bit,14.666666666666666,0.004000000000000001,None,None
11,12-bit,16.142857142857142,0.005485714285714286,None,None
11,8-bit,17.304347826086957,0.01022608695652174,None,None
11,4-bit,34.78260869565217,0.025913043478260872,None,None
11,3-bit,None,None,None,None
13,Float,15.0,0.0036000000000000003,None,None
13,16-bit,15.461538461538462,0.004215384615384615,None,None
13,12-bit,15.647058823529411,0.006188235294117647,None,None
13,8-bit,16.235294117647058,0.0060470588235294115,None,None
13,4-bit,36.869565217391305,0.03829565217391305,None,None
13,3-bit,None,None,None,None
