Bags,Quantization,Intersection (IS-Size),Intersection (Error Rate)
1,Float,16.8440367,0.03299082569
1,16-bit,18.21428571,0.0488
1,12-bit,21.29090909,0.03537454545
1,8-bit,20.09756098,0.03354146341
1,4-bit,None,None
1,3-bit,None,None
3,Float,12.3255814,0.01913488372
3,16-bit,12.18181818,0.02290909091
3,12-bit,11.75,0.0206
3,8-bit,11.9245283,0.02284528302
3,4-bit,26.85714286,0.08428571429
3,3-bit,None,None
5,Float,9.134615385,0.01609230769
5,16-bit,10.07142857,0.009885714286
5,12-bit,11.38333333,0.01903333333
5,8-bit,10.77777778,0.01777777778
5,4-bit,23.77906977,0.06548837209
5,3-bit,None,None
7,Float,9.542857143,0.01649142857
7,16-bit,8.786666667,0.02309333333
7,12-bit,8.552631579,0.01362105263
7,8-bit,9.333333333,0.0124
7,4-bit,22.8,0.06152
7,3-bit,None,None
9,Float,7.967741935,0.01492903226
9,16-bit,8.236363636,0.01626909091
9,12-bit,8.55,0.01278
9,8-bit,8.282608696,0.01762608696
9,4-bit,19.84931507,0.05269589041
9,3-bit,None,None
11,Float,7.698113208,0.0161509434
11,16-bit,7.764705882,0.01522352941
11,12-bit,6.803030303,0.01401818182
11,8-bit,7.25,0.006
11,4-bit,18.29885057,0.03874022989
11,3-bit,None,None
13,Float,7.119047619,0.01312380952
13,16-bit,5.685714286,0.009245714286
13,12-bit,5.594594595,0.009654054054
13,8-bit,7.552631579,0.02003157895
13,4-bit,18.68656716,0.0424119403
13,3-bit,29.95789474,0.05995789474
