Bags,Quantization,Intersection (IS-Size),Intersection (Error Rate)
1,Float,23.79411765,0.02675294118
1,16-bit,24.3,0.02664
1,12-bit,19.71428571,0.03097142857
1,8-bit,24.57142857,0.05325714286
1,4-bit,None,None
1,3-bit,None,None
3,Float,14.91666667,0.01356666667
3,16-bit,14.4375,0.0155
3,12-bit,14.29166667,0.01046666667
3,8-bit,16.30555556,0.03012222222
3,4-bit,30.22222222,0.07457777778
3,3-bit,None,None
5,Float,12.72916667,0.02216666667
5,16-bit,12.875,0.0083
5,12-bit,12.65384615,0.02103076923
5,8-bit,12.5,0.0142
5,4-bit,27.71590909,0.05676363636
5,3-bit,None,None
7,Float,11.20588235,0.01932941176
7,16-bit,10.17857143,0.009071428571
7,12-bit,11.64,0.010032
7,8-bit,11.65909091,0.01890909091
7,4-bit,25.91549296,0.04531830986
7,3-bit,None,None
9,Float,8.935483871,0.008141935484
9,16-bit,10.32142857,0.01124285714
9,12-bit,9.485714286,0.01354285714
9,8-bit,11.51666667,0.01791333333
9,4-bit,25.578125,0.04864375
9,3-bit,None,None
11,Float,9.022727273,0.005918181818
11,16-bit,8.3,0.00708
11,12-bit,8.9,0.00612
11,8-bit,9.58974359,0.01499487179
11,4-bit,23.42465753,0.05321643836
11,3-bit,None,None
13,Float,8.095238095,0.006533333333
13,16-bit,9.742857143,0.01376
13,12-bit,7.961538462,0.007969230769
13,8-bit,9.80952381,0.005942857143
13,4-bit,23.86363636,0.04294545455
13,3-bit,34.55952381,0.0514047619
