Angle (Degrees),Cosine Similarity,False Negative Rate,False Positive Rate
6.0,0.994522,0.999901,0.0
6.05,0.99443,0.999901,0.0
6.1,0.994338,0.999802,0.0
6.1499999999999995,0.994245,0.999802,0.0
6.199999999999999,0.994151,0.999802,0.0
6.249999999999999,0.994056,0.999802,0.0
6.299999999999999,0.993961,0.999703,0.0
6.349999999999999,0.993865,0.999703,0.0
6.399999999999999,0.993768,0.999703,0.0
6.449999999999998,0.99367,0.999604,0.0
6.499999999999998,0.993572,0.999505,0.0
6.549999999999998,0.993473,0.999505,0.0
6.599999999999998,0.993373,0.999406,0.0
6.649999999999998,0.993272,0.999406,0.0
6.6999999999999975,0.993171,0.999307,0.0
6.749999999999997,0.993068,0.999208,0.0
6.799999999999997,0.992966,0.999208,0.0
6.849999999999997,0.992862,0.999208,0.0
6.899999999999997,0.992757,0.99901,0.0
6.949999999999997,0.992652,0.998911,0.0
6.9999999999999964,0.992546,0.998911,0.0
7.049999999999996,0.992439,0.998515,0.0
7.099999999999996,0.992332,0.997822,0.0
7.149999999999996,0.992224,0.997723,0.0
7.199999999999996,0.992115,0.997525,0.0
7.249999999999996,0.992005,0.997129,0.0
7.299999999999995,0.991894,0.996832,0.0
7.349999999999995,0.991783,0.996634,0.0
7.399999999999995,0.991671,0.99604,0.0
7.449999999999995,0.991558,0.995248,0.0
7.499999999999995,0.991445,0.994554,0.0
7.5499999999999945,0.991331,0.993762,0.0
7.599999999999994,0.991216,0.993168,0.0
7.649999999999994,0.9911,0.992079,0.0
7.699999999999994,0.990983,0.991485,0.0
7.749999999999994,0.990866,0.990536,0.0
7.799999999999994,0.990748,0.989942,0.0
7.849999999999993,0.990629,0.989348,0.0
7.899999999999993,0.990509,0.987169,0.0
7.949999999999993,0.990389,0.986278,0.0
7.999999999999993,0.990268,0.984478,0.0
8.049999999999994,0.990146,0.98329,0.0
8.099999999999993,0.990024,0.981112,0.0
8.149999999999991,0.9899,0.979627,0.0
8.199999999999992,0.989776,0.977845,0.0
8.249999999999993,0.989651,0.976103,0.0
8.299999999999992,0.989526,0.974816,0.0
8.34999999999999,0.989399,0.97343,0.0
8.399999999999991,0.989272,0.97145,0.0
8.449999999999992,0.989144,0.968718,0.0
8.499999999999991,0.989016,0.967233,0.0
8.54999999999999,0.988886,0.964956,0.0
8.59999999999999,0.988756,0.96248,0.0
8.649999999999991,0.988626,0.95951,0.0
8.69999999999999,0.988494,0.957431,0.0
8.74999999999999,0.988362,0.954956,0.0
8.79999999999999,0.988228,0.951886,0.0
8.84999999999999,0.988094,0.948642,0.0
8.89999999999999,0.98796,0.944582,0.0
8.949999999999989,0.987824,0.941711,0.0
8.99999999999999,0.987688,0.937634,0.0
9.04999999999999,0.987551,0.93411,0.0
9.099999999999989,0.987414,0.931437,0.0
9.149999999999988,0.987275,0.928665,0.0
9.199999999999989,0.987136,0.925042,0.0
9.24999999999999,0.986996,0.920982,0.0
