Bags,Quantization,Intersection (IS-Size),Intersection (Error Rate)
1,Float,25.84,0.02376
1,16-bit,22.41176471,0.03341176471
1,12-bit,27.94594595,0.03681081081
1,8-bit,26.81818182,0.02705454545
1,4-bit,None,None
1,3-bit,None,None
3,Float,17.88235294,0.01298823529
3,16-bit,18.44680851,0.01731914894
3,12-bit,18.92307692,0.01129230769
3,8-bit,18.85454545,0.01802181818
3,4-bit,35.82075472,0.07034339623
3,3-bit,None,None
5,Float,13.9047619,0.009104761905
5,16-bit,12.65789474,0.009968421053
5,12-bit,15.16666667,0.0096
5,8-bit,14.06666667,0.008426666667
5,4-bit,32.41304348,0.04974782609
5,3-bit,None,None
7,Float,14.05263158,0.007473684211
7,16-bit,12.5,0.0044
7,12-bit,14,0.0088
7,8-bit,13.88235294,0.007835294118
7,4-bit,30.78378378,0.05145945946
7,3-bit,None,None
9,Float,11.125,0.0077
9,16-bit,13.38461538,0.006276923077
9,12-bit,12.4,0.0084
9,8-bit,12.82352941,0.008894117647
9,4-bit,30.05084746,0.04103050847
9,3-bit,None,None
11,Float,12.83333333,0.006266666667
11,16-bit,10.86666667,0.005733333333
11,12-bit,10.87234043,0.0137787234
11,8-bit,11.33333333,0.007466666667
11,4-bit,29.63157895,0.05522105263
11,3-bit,None,None
13,Float,11.43478261,0.006939130435
13,16-bit,9.423076923,0.0058
13,12-bit,12,0.0108
13,8-bit,10.5,0.0068
13,4-bit,29.125,0.0392
13,3-bit,None,None
